Dzongkhag_Name,Dzongkhag_Latitude,Dzongkhag_Longitude,Hospital_Name,Hospital_latitude,Hospital_longitude,Level_of_ school,Female_student,Male_student,Total_students,Age,,,,,
Mongar,27.2754,91.2398,Eastern Regional Referral,27.27858,91.23819,XI,181,159,340,16,,,,,
Mongar,27.2754,91.2398,Eastern Regional Referral,27.27858,91.23819,XII,270,250,420,17,,,,,
Paro,27.4286,89.4167,Paro,28.42827,89.4051,VII,493,443,936,12,,,,,
Paro,27.4286,89.4167,Paro,27.42827,89.4051,VI,353,318,671,11,,,,,
Paro,27.4286,89.4167,Paro,27.42827,89.4051,VIII,529,450,979,13,,,,,
Paro,27.4286,89.4167,Paro,27.42827,89.4051,IX,338,337,675,14,,,,,
Paro,27.4286,89.4167,Paro,27.42827,89.4051,X,381,298,679,15,,,,,
Paro,27.4286,89.4167,Paro,27.42827,89.4051,XI,326,266,592,16,,,,,
Paro,27.4286,89.4167,Paro,27.42827,89.4051,XII,472,415,887,17,,,,,
Pemagatshel,27.0024,91.3469,Pemagatshel,27.0289939,91.422645,VI,196,167,363,11,,,,,
Pemagatshel,27.0024,91.3469,Pemagatshel,27.0289939,91.422645,VII,239,199,438,12,,,,,
Pemagatshel,27.0024,91.3469,Pemagatshel,27.0289939,91.422645,VIII,303,221,524,13,,,,,
Pemagatshel,27.0024,91.3469,Pemagatshel,27.0289939,91.422645,IX,130,118,248,14,,,,,
Pemagatshel,27.0024,91.3469,Pemagatshel,27.0289939,91.422645,X,197,175,372,15,,,,,
Pemagatshel,27.0024,91.3469,Pemagatshel,27.0289939,91.422645,XI,106,113,219,16,,,,,
Pemagatshel,27.0024,91.3469,Pemagatshel,27.0289939,91.422645,XII,197,181,378,17,,,,,
Punakha,27.5910019,89.87979,Punakha,27.58147,89.8609,VI,192,193,385,11,,,,,
Punakha,27.5910019,89.87979,Punakha,27.58147,89.8609,VII,291,309,600,12,,,,,
Punakha,27.5910019,89.87979,Punakha,27.58147,89.8609,VIII,377,309,686,13,,,,,
Punakha,27.5910019,89.87979,Punakha,27.58147,89.8609,IX,224,231,455,14,,,,,
Punakha,27.5910019,89.87979,Punakha,27.58147,89.8609,X,313,266,579,15,,,,,
Punakha,27.5910019,89.87979,Punakha,27.58147,89.8609,XI,320,329,649,16,,,,,
Punakha,27.5910019,89.87979,Punakha,27.58147,89.8609,XII,371,361,732,17,,,,,
Samdrup Jongkhar,26.9287,91.6372,Samdrup Jongkhar,26.80026,91.50868,VI,212,150,362,11,,,,,
Samdrup Jongkhar,26.9287,91.6372,Samdrup Jongkhar,26.80026,91.50868,VII,293,268,561,12,,,,,
Samdrup Jongkhar,26.9287,91.6372,Samdrup Jongkhar,26.80026,91.50868,VIII,390,297,687,13,,,,,
Samdrup Jongkhar,26.9287,91.6372,Samdrup Jongkhar,26.80026,91.50868,IX,127,143,270,14,,,,,
Samdrup Jongkhar,26.9287,91.6372,Samdrup Jongkhar,26.80026,91.50868,X,269,220,489,15,,,,,
Samdrup Jongkhar,26.9287,91.6372,Samdrup Jongkhar,26.80026,91.50868,XI,150,120,270,16,,,,,
Samdrup Jongkhar,26.9287,91.6372,Samdrup Jongkhar,26.80026,91.50868,XII,193,158,351,17,,,,,
Samdrup Jongkhar,26.80026,91.50868,Deothang,26.86212,91.46679,VI,85,68,153,11,,,,,
Samdrup Jongkhar,26.80026,91.50868,Deothang,26.86212,91.46679,VII,33,38,71,12,,,,,
Samdrup Jongkhar,26.80026,91.50868,Deothang,26.86212,91.46679,VIII,42,48,90,13,,,,,
Samdrup Jongkhar,26.80026,91.50868,Deothang,26.86212,91.46679,IX,28,23,51,14,,,,,
Samdrup Jongkhar,26.80026,91.50868,Deothang,26.86212,91.46679,X,28,14,42,15,,,,,
Samdrup Jongkhar,26.80026,91.50868,Deothang,26.86212,91.46679,XI,17,15,32,16,,,,,
