Dzongkhag_Name,Hospital_Name,Hospital_latitude,Hospital_longitude,Gewog_Name,Geowog_Latitude,Geowog_Longitude
Mongar,Eastern Regional Referral,27.28,91.24,Na-Rang,27.34,91.47
Mongar,Eastern Regional Referral,27.28,91.24,Ngatshang,27.30,91.36
Mongar,Eastern Regional Referral,27.28,91.24,Shermuhoong,27.40,91.36
Mongar,Eastern Regional Referral,27.28,91.24,Thang-Rong,27.23,91.35
Mongar,Eastern Regional Referral,27.28,91.24,Gongdue,27.04,91.19
Mongar,Eastern Regional Referral,27.28,91.24,Jurmed,27.12,91.25
Mongar,Eastern Regional Referral,27.28,91.24,Kengkhar,27.10,91.32
Mongar,Eastern Regional Referral,27.28,91.24,Saling,27.26,91.17
Mongar,Eastern Regional Referral,27.28,91.24,Silambi,27.07,91.12
Mongar,Eastern Regional Referral,27.28,91.24,Chhaling,27.34,91.24
Mongar,Eastern Regional Referral,27.28,91.24,Drepoong,27.28,91.27
Mongar,Eastern Regional Referral,27.28,91.24,Mongar,27.28,91.24
Mongar,Eastern Regional Referral,27.28,91.24,Tsakaling,27.33,91.22
Mongar,Eastern Regional Referral,27.28,91.24,Tsamang,27.37,91.18
Paro,Paro,27.43,89.41,Paro Town,27.43,89.41
Paro,Paro,27.43,89.41,Beteykha Town,27.25,89.41
Paro,Paro,27.43,89.41,Dokar,27.31,89.54
Paro,Paro,27.43,89.41,Loong-nyi,27.39,89.43
Paro,Paro,27.43,89.41,Nagya,27.25,89.41
Paro,Paro,27.43,89.41,Sharpa,27.39,89.45
Paro,Paro,27.43,89.41,Dopshar-ri,27.46,89.43
Paro,Paro,27.43,89.41,Doteng,27.48,89.43
Paro,Paro,27.43,89.41,Hoongrel,27.43,89.42
Paro,Paro,27.43,89.41,Lamgong,27.45,89.36
Paro,Paro,27.43,89.41,Tsento,27.48,89.33
Paro,Paro,27.43,89.41,Wangchang,27.42,89.42
Pemagatshel,Pemagatshel,27.03,91.42,Denchi Town,27.02,91.40
Pemagatshel,Pemagatshel,27.03,91.42,Nganglam Town,26.85,91.25
Pemagatshel,Pemagatshel,27.03,91.42,Old Pema Gatsel Town,27.04,91.40
Pemagatshel,Pemagatshel,27.03,91.42,Kherigonpa Town,27.05,91.43
Pemagatshel,Pemagatshel,27.03,91.42,Mongling Town,27.05,91.43
Pemagatshel,Pemagatshel,27.03,91.42,Khothakpa Town,27.03,91.41
Pemagatshel,Pemagatshel,27.03,91.42,Nangkhor Town,27.07,91.39
Pemagatshel,Pemagatshel,27.03,91.42,Yalang Town,27.02,91.42
Pemagatshel,Pemagatshel,27.03,91.42,Chhimoong,27.04,91.29
Pemagatshel,Pemagatshel,27.03,91.42,Chogshing,27.01,91.38
Pemagatshel,Pemagatshel,27.03,91.42,Dungmaed,26.99,91.33
Pemagatshel,Pemagatshel,27.03,91.42,Khar,27.00,91.40
Pemagatshel,Pemagatshel,27.03,91.42,Yurung,27.02,91.34
Pemagatshel,Pemagatshel,27.03,91.42,Nanong,27.12,91.46
Pemagatshel,Pemagatshel,27.03,91.42,Shumar,27.05,91.38
Pemagatshel,Pemagatshel,27.03,91.42,Zobel,27.07,91.46
Pemagatshel,Pemagatshel,27.03,91.42,Chhoekhorling,26.83,91.34
Pemagatshel,Pemagatshel,27.03,91.42,Dechhenling,26.92,91.22
Pemagatshel,Pemagatshel,27.03,91.42,Norbugang,26.86,91.13
Punakha,Punakha,27.58,89.86,Punakha Town,27.58,89.86
Punakha,Punakha,27.58,89.86,Lobaysa Town,27.51,89.87
Punakha,Punakha,27.58,89.86,Barp,27.52,89.87
Punakha,Punakha,27.58,89.86,Guma,27.57,89.87
Punakha,Punakha,27.58,89.86,Goenshari,27.71,89.77
Punakha,Punakha,27.58,89.86,Kabisa,27.59,89.88
Punakha,Punakha,27.58,89.86,Talog,27.56,89.84
Punakha,Punakha,27.58,89.86,Toedpisa,27.53,89.81
Punakha,Punakha,27.58,89.86,Chhubu,27.64,89.86
Punakha,Punakha,27.58,89.86,Dzomi,27.59,89.87
Punakha,Punakha,27.58,89.86,Lingmukha,27.56,89.90
Punakha,Punakha,27.58,89.86,Shelnga-Bjemi,27.60,89.92
Punakha,Punakha,27.58,89.86,Toedwang,27.65,89.87
Samdrup Jongkhar,Samdrup Jongkhar,26.80,91.51,Samdrup JongkharThromde,26.80,91.50
Samdrup Jongkhar,Samdrup Jongkhar,26.80,91.51,Jomotsangkha,26.90,92.11
Samdrup Jongkhar,Samdrup Jongkhar,26.80,91.51,Samdrup Choling Town,26.80,91.50
Samdrup Jongkhar,Samdrup Jongkhar,26.80,91.51,Dewathang,26.86,91.46
Samdrup Jongkhar,Samdrup Jongkhar,26.80,91.51,Gomdar,26.80,91.50
Samdrup Jongkhar,Samdrup Jongkhar,26.80,91.51,Orong,26.93,91.50
Samdrup Jongkhar,Samdrup Jongkhar,26.80,91.51,Phuentshothang,26.92,91.68
Samdrup Jongkhar,Deothang,26.86,91.47,Wangphu,26.98,91.61
Samdrup Jongkhar,Deothang,26.86,91.47,Langchenphu,26.89,92.10
Samdrup Jongkhar,Deothang,26.86,91.47,Lauri,27.13,91.91
Samdrup Jongkhar,Deothang,26.86,91.47,Martshala,26.95,91.68
Samdrup Jongkhar,Deothang,26.86,91.47,Pemathang,26.92,91.74
Samdrup Jongkhar,Deothang,26.86,91.47,Samrang,26.80,91.50
Samdrup Jongkhar,Deothang,26.86,91.47,Serthig,27.02,92.00
Samtse,Samtse,26.90,89.09,Samtse Town,26.90,89.09
Samtse,Samtse,26.90,89.09,Sipsu Town,27.05,88.89
Samtse,Samtse,26.90,89.09,Gomtu Town,26.83,89.17
Samtse,Samtse,26.90,89.09,Duenchhukha,26.93,89.09
Samtse,Samtse,26.90,89.09,Dophuchen,27.00,89.21
Samtse,Samtse,26.90,89.09,Doomtoed,27.05,89.18
Samtse,Samtse,26.90,89.09,Tading,26.88,89.32
Samtse,Gomtu,26.82,89.19,Norboogang,26.93,89.03
Samtse,Gomtu,26.82,89.19,Phuentshopelri,26.82,89.19
Samtse,Gomtu,26.82,89.19,Samtse,27.05,89.06
Samtse,Gomtu,26.82,89.19,Norgaygang,27.13,88.84
Samtse,Gomtu,26.82,89.19,Pemaling,27.05,88.90
Samtse,Gomtu,26.82,89.19,Tashichhoeling,27.04,88.88
Samtse,Gomtu,26.82,89.19,Sang-Ngag-Chhoeling,26.99,88.95
Samtse,Gomtu,26.82,89.19,Tendruk,27.13,88.88
Samtse,Gomtu,26.82,89.19,Namgyalchhoeling,27.02,88.93
Samtse,Gomtu,26.82,89.19,Ugyentse,26.95,89.01
Samtse,Gomtu,26.82,89.19,Yoeseltse,26.95,88.97
Tashi Yangtse,Trashiyangtse,27.63,91.51,Trashi Yangtse Town,27.61,91.50
Tashi Yangtse,Trashiyangtse,27.63,91.51,Duksum Town,27.44,91.58
Tashi Yangtse,Trashiyangtse,27.63,91.51,Boomdeling,27.71,91.42
Tashi Yangtse,Trashiyangtse,27.63,91.51,Jamkhar,27.40,91.54
Tashi Yangtse,Trashiyangtse,27.63,91.51,Tongmajangsa,27.45,91.55
Tashi Yangtse,Trashiyangtse,27.63,91.51,Yangtse,27.60,91.50
Tashi Yangtse,Trashiyangtse,27.63,91.51,Ramjar,27.42,91.58
Tashi Yangtse,Trashiyangtse,27.63,91.51,Khamdang,27.46,91.58
Tashi Yangtse,Trashiyangtse,27.63,91.51,Toedtsho,27.48,91.60
Tashi Yangtse,Trashiyangtse,27.63,91.51,Yalang,27.44,91.59
Tashigang,Trashigang,27.33,91.55,Trashigang Town,27.33,91.55
Tashigang,Trashigang,27.33,91.55,Rangjung Town,27.35,91.66
Tashigang,Trashigang,27.33,91.55,Kanglung Town,27.29,91.53
Tashigang,Trashigang,27.33,91.55,Khaling Town,27.21,91.60
Tashigang,Trashigang,27.33,91.55,Resarbu Town,27.33,91.54
Tashigang,Trashigang,27.33,91.55,Wamrong Town,27.14,91.57
Tashigang,Trashigang,27.33,91.55,Bartsham,27.39,91.61
Tashigang,Riserboo,27.12,91.55,Bidoong,27.37,91.64
Tashigang,Riserboo,27.12,91.55,Yangnyer,27.36,91.53
Tashigang,Riserboo,27.12,91.55,Shongphu,27.35,91.67
Tashigang,Riserboo,27.12,91.55,Kanglung,27.29,91.52
Tashigang,Riserboo,27.12,91.55,Samkhar,27.33,91.61
Tashigang,Riserboo,27.12,91.55,Udzorong,27.26,91.45
Tashigang,Riserboo,27.12,91.55,Merag,27.30,91.84
Tashigang,Riserboo,27.12,91.55,Phongmed,27.33,91.55
Tashigang,Riserboo,27.12,91.55,Radhi,27.36,91.69
Tashigang,Riserboo,27.12,91.55,Sagteng,27.40,91.92
Tashigang,Riserboo,27.12,91.55,Kangpar,27.13,91.70
Tashigang,Riserboo,27.12,91.55,Thrimshing,27.12,91.61
Tashigang,Riserboo,27.12,91.55,Khaling,27.21,91.60
Tashigang,Riserboo,27.12,91.55,Lumang,27.15,91.53
Thimphu,Gidakom,27.40,89.57,Thimphu Thromde,27.47,89.64
Thimphu,Gidakom,27.40,89.57,Khasadrapchu Town,27.39,89.58
Thimphu,Gidakom,27.40,89.57,Kawang,27.48,89.63
